segment_id	char_range	frame_range	speaker_id	document_id
301ad916-45ba-409d-9039-17200ed52c74	[2331, 2381)	[7162, 7236)	T1_GP1	BE_2019_001_T_ELAN
f0b8f4d8-91f4-41d7-8067-ed86e3156b5a	[2381, 2615)	[7236, 7479)	T1_GP1	BE_2019_001_T_ELAN
8e9a43a7-637f-4481-b7f2-513161ab8c77	[2615, 2627)	[7860, 7879)	T1_GP1	BE_2019_001_T_ELAN
8885722f-13e6-4a9f-8435-aaa5f1011024	[2627, 2685)	[7886, 7922)	T1_GP1	BE_2019_001_T_ELAN
57ed3352-d5ce-4afd-91f0-485e0ac51338	[2685, 2731)	[8312, 8377)	T1_GP1	BE_2019_001_T_ELAN
edac8ee1-32af-4c4f-9191-42dcf1caf4d4	[2731, 2782)	[8384, 8473)	T1_GP1	BE_2019_001_T_ELAN
159eb732-76d7-453c-90db-570adc3cc080	[2782, 2814)	[8508, 8568)	T1_GP1	BE_2019_001_T_ELAN
71aa0653-2711-4c67-b8aa-15c192d96391	[2814, 2906)	[8585, 8735)	T1_GP1	BE_2019_001_T_ELAN
5332292a-024a-44b0-8a29-b5dcb065c467	[2906, 2929)	[8831, 8860)	T1_GP1	BE_2019_001_T_ELAN
949c50a0-d4b2-4b0d-aa8b-b3a30d5508ff	[2929, 3018)	[8898, 9004)	T1_GP1	BE_2019_001_T_ELAN
173bc0aa-1ac0-4ae7-98e5-83757e14914c	[3018, 3052)	[9054, 9127)	T1_GP1	BE_2019_001_T_ELAN
a2a67483-038c-4fca-8231-7fd84266512a	[3052, 3084)	[9162, 9228)	T1_GP1	BE_2019_001_T_ELAN
e23c9b64-3817-4247-b435-2417d64727f1	[3084, 3158)	[9229, 9326)	T1_GP1	BE_2019_001_T_ELAN
20fcdd8d-b821-4afe-ba66-620db64f1c6d	[3158, 3201)	[9343, 9388)	T1_GP1	BE_2019_001_T_ELAN
30eb91ec-f110-4774-8bb6-e943053abe37	[3201, 3210)	[9431, 9448)	T1_GP1	BE_2019_001_T_ELAN
a176d407-4493-4e7a-8c3f-82c17f08e67e	[3210, 3255)	[9489, 9574)	T1_GP1	BE_2019_001_T_ELAN
6312de61-6ca8-4cc3-baa8-c0cbcdfc74ff	[3255, 3259)	[9747, 9757)	T1_GP1	BE_2019_001_T_ELAN
d1c504c4-f82b-40de-a8e6-a2b74aea0323	[3259, 3277)	[10072, 10104)	T1_GP1	BE_2019_001_T_ELAN
8d301057-b075-4d40-aa82-9b6e9682d6be	[3277, 3538)	[10118, 10401)	T1_GP1	BE_2019_001_T_ELAN
a2a45d1e-1ad5-429a-bb6a-35ae52263a5d	[3538, 3584)	[10483, 10530)	T1_GP1	BE_2019_001_T_ELAN
bd340005-96d5-4238-ad5c-63a737c051a1	[3584, 3651)	[10652, 10761)	T1_GP1	BE_2019_001_T_ELAN
627b80e1-8d42-4daa-ba88-111d0d76400b	[3651, 3707)	[10804, 10878)	T1_GP1	BE_2019_001_T_ELAN
3a1ad31a-aa51-4c28-9a43-d7226d44eafd	[3707, 3734)	[10936, 10987)	T1_GP1	BE_2019_001_T_ELAN
4407f9b4-a409-45aa-bed1-5d70d14c87b7	[3734, 3745)	[10999, 11029)	T1_GP1	BE_2019_001_T_ELAN
6eca871b-8dfa-43d1-ba33-a9de39d2e347	[3745, 3804)	[11042, 11121)	T1_GP1	BE_2019_001_T_ELAN
fab1fc15-d18d-4ea1-a32d-dde58b6dedae	[3804, 3806)	[11349, 11366)	T1_GP1	BE_2019_001_T_ELAN
3dedc9c7-cf8f-42ea-ba47-78bd2b1aac3e	[3806, 3810)	[11927, 11938)	T1_GP1	BE_2019_001_T_ELAN
