sentence_id,char_range,frame_range,speaker_id,original_id
ed80eca2-9f8e-4f52-8d97-d538bc08264a,"[3605,3652)","[10483,10531)",1,64
50a93af7-5a7d-4e32-90b4-ea22d862f688,"[3652,3720)","[10651,10761)",1,65
7d169cd1-c8f8-4e2d-acbd-b3751c1aa58f,"[3720,3777)","[10804,10878)",1,66
3bab2777-45be-44fc-8fd7-9226079a0292,"[3777,3805)","[10935,10988)",1,67
7fc14e12-8b77-4852-a086-3c6817dec976,"[3805,3817)","[10999,11029)",1,68
a6a3e9d2-f8b7-47ab-908c-c6cb28bc9dcb,"[3817,3877)","[11042,11121)",1,69
dcacee22-2bbe-4196-94cf-b62acd68e462,"[3877,3880)","[11349,11366)",1,70
b79850f0-f091-41fe-9785-efffb0079931,"[3880,3885)","[11927,11938)",1,71
3e9d9fcb-0302-4442-a073-fc9f97903f65,"[3885,3894)","[11958,11975)",1,72
0f354151-7ea4-4675-aa4b-1818aa4ca39c,"[3894,3930)","[12209,12271)",1,73
acf86f3d-2b71-4baa-92bb-2cc05c4800d2,"[3930,3947)","[12283,12334)",1,1
f9101c1c-c657-4baa-bf1c-ce5dcd971e92,"[3947,3967)","[12407,12434)",1,74
2b2e16e1-02a7-4d24-a3d4-1ce0de3c1668,"[3967,4050)","[12437,12527)",1,75
5f9ae5ae-7d58-4752-9065-e47ee5228c41,"[4050,4099)","[12526,12578)",1,76
794008ff-2589-4202-99eb-1e3d8d448c22,"[4099,4154)","[12577,12638)",1,77
485d28ec-66a1-408c-af7c-f83a71afc1c3,"[4154,4322)","[12641,12803)",1,78
ad51a970-7907-48a9-be04-bbaac14b577c,"[4322,4405)","[12811,12972)",1,79
c2f30446-8c1f-4ed7-a548-9d673c3026eb,"[4405,4408)","[13264,13278)",1,70
fc07067b-44ec-4d08-8753-79334ec86b1f,"[4408,4428)","[13359,13396)",1,80
705d4be8-397a-4557-8799-723ba1b33b25,"[4428,4432)","[13619,13635)",1,81
52d4ab5f-2a5f-4437-97b9-4b9d9b10240d,"[4432,4495)","[13757,14038)",1,82
6c16997e-101e-4d79-b2fd-9d790ecd66ff,"[4495,4590)","[14037,14286)",1,83
1d4c9aad-9619-4fbd-b8cb-d188aefe5635,"[4590,4660)","[14290,14378)",1,84
56c3aba4-06da-4a20-9024-c4b8bdd08034,"[4660,4738)","[14480,14613)",1,85
9b54e6e0-2707-47d4-9cd9-0672bb0486a0,"[4738,4760)","[15028,15068)",1,86
3ad45849-cf22-49ee-b09c-231f8e17b437,"[4760,4764)","[15289,15309)",1,87
1c552e74-ca92-43a4-b285-f531bac209d6,"[4764,4887)","[15332,15486)",1,88
936c817c-17de-4c35-9b35-089e8f2ae5e6,"[4887,4987)","[15793,15915)",1,89
5155e459-d4c4-432b-b5e2-f5d069df02ef,"[4987,4995)","[15916,15966)",1,90
fc9bd939-83ac-422a-904d-157bc95b6292,"[4995,5091)","[16195,16305)",1,91
47b61b5b-cf92-4fdf-bd4e-723b557c7571,"[5091,5102)","[16321,16378)",1,92
b3471ace-4337-4616-bd2c-fd133d46c6a0,"[5102,5119)","[16441,16461)",1,93
83f584ff-3ff3-406d-b06b-8f53c9e7baf2,"[5119,5127)","[16484,16533)",1,94
6bedccc6-e0eb-41d4-9815-484a320564fe,"[5127,5242)","[16564,16699)",1,95
7842d608-c665-4333-81c3-b0e217335c95,"[5242,5341)","[16698,16884)",1,96
7210286e-ee38-42ba-98f3-8ab07dba8e8e,"[5341,5349)","[16911,16923)",1,97
1d1c6134-55e0-43a1-9f3c-4da11f38886e,"[5349,5411)","[16953,17054)",1,98
8108bdf9-bff6-436d-9322-810d6b8e2a64,"[5411,5485)","[17053,17136)",1,99
9c531e39-aee3-46a6-a817-f2156a5f881e,"[5485,5556)","[17135,17265)",1,100
1ce868b5-cd8e-4817-b29e-1823bc6a299f,"[5556,5675)","[17267,17497)",1,101
c654f62a-9417-4e9f-bcc6-b3c613219a04,"[5675,5717)","[17498,17640)",1,102
29da4cce-2216-4e49-9f4a-05be40405be1,"[5717,5823)","[17646,17823)",1,103
06715334-3e37-409a-bc97-40658da598ae,"[5823,5925)","[17883,18138)",1,104
e60991b1-d21b-4ab8-be3f-f9936a57ceee,"[5925,6170)","[18150,18438)",1,105
d5f2761c-bfbc-44d0-9010-408d3bac77cf,"[6170,6210)","[18816,18913)",1,106
66733d4d-97db-41bf-892d-82b7eca29a62,"[6210,6338)","[18970,19261)",1,107
44f7a177-bbcd-4245-99cb-341fcd3cb1e0,"[6338,6506)","[19268,19462)",1,108
4c300e10-1933-4816-bdd2-5b1ec2b91227,"[6506,6676)","[19550,19749)",1,109
4336064d-3fd5-4186-8a2f-665f952e58cb,"[6676,6738)","[19750,19893)",1,110
096c1d48-167f-4fd6-8858-f7416bbdba57,"[6738,6921)","[19907,20114)",1,111
1d74d8ed-920e-4151-a7d3-d6dcaeb6e9cd,"[6921,6930)","[20211,20228)",1,112
a320d83f-4dad-477f-aa75-fe2d406d1c17,"[6930,7062)","[20284,20448)",1,113
a773a0a1-0e47-483a-958e-00ce23d89cb0,"[7062,7075)","[20549,20571)",1,114
b0d41c91-4637-46ce-bb1a-20d8009fbbe9,"[7075,7149)","[20570,20757)",1,115
4126f88d-af97-4557-8a23-95a5afaf617c,"[7149,7185)","[20848,20947)",1,116
4bd14acf-92d0-40e1-acfa-ca9170e474d6,"[7185,7256)","[20974,21039)",1,117
678396ba-e907-4a24-97cb-cebbed625578,"[7256,7260)","[21199,21220)",1,118
76f53cdb-6c90-4adc-b031-612105e6b2b1,"[7260,7282)","[21282,21316)",1,119
b58b837e-5413-4a5a-817d-8fb8cbc4ace6,"[7282,7314)","[21428,21487)",1,120
df3b9176-9586-4645-a365-47e1c98f937d,"[7314,7384)","[21523,21623)",1,121
6dfea104-d284-4284-8b4d-416b8ec899f5,"[7384,7443)","[21657,21751)",1,122
42a56cf8-c032-4832-8bcb-1b9e9cfb294f,"[7443,7465)","[22110,22233)",1,123
d1276a8b-4c1b-40a4-b80b-f9521daf3778,"[7465,7469)","[22301,22319)",1,7
9baf8ed2-1e7b-400e-b12f-8f1707d4c9db,"[7469,7505)","[22480,22538)",1,124
3fcc788d-468b-4a1f-aa6c-108691646823,"[7505,7558)","[22588,22772)",1,125
79a29533-fa02-4c7f-be59-6cc468982f6c,"[7558,7613)","[22855,22967)",1,126
48980a0a-a42e-45eb-af07-83e24406791b,"[7613,7625)","[23149,23186)",1,127
3fbf3c08-1327-4974-b15c-7d0702da75bc,"[7625,7649)","[23316,23350)",1,128
143f53a0-8699-4a39-a2c7-482a2e25ea5d,"[7649,7682)","[23354,23458)",1,129
effb95f5-7ca0-4b88-8a06-4974aab06617,"[7682,7686)","[23722,23737)",1,7
142cb182-1957-44e8-8da9-5ad662709201,"[7686,7755)","[23811,23983)",1,130
0a139d27-7e60-4688-b150-8116aa648f90,"[7755,7761)","[24153,24173)",1,131
2df86e60-f3b5-400a-bfbf-a2c70a2f1b63,"[7761,7778)","[24317,24364)",1,132
5aa92538-5e00-42ec-a742-5e85298c5203,"[7778,7781)","[24372,24384)",1,70
47235ee1-64fa-4cf4-b39e-b5311232c7e1,"[7781,7804)","[24419,24563)",1,133
18ed9c7d-945b-4c27-ba72-275e35d5e3a2,"[7804,7837)","[24732,24803)",1,134
e24c54cf-8843-4e36-b3d7-30e8ea85e5fd,"[7837,7868)","[25031,25117)",1,135
73b184cc-3121-4dcf-872e-e8ececd68e3a,"[7868,7940)","[25269,25400)",1,136
7b943699-4f5f-4ab1-b4fe-620aee8423ca,"[7940,7973)","[25419,25484)",1,137
b31f1b37-3cc5-431f-85cf-0bd330f095fa,"[7973,7990)","[25546,25560)",1,1
12862129-75d5-49fa-bfc9-2ff326312b1c,"[7990,8011)","[26206,26269)",1,138
c5301362-62e5-45b7-8351-8609029dac65,"[8011,8029)","[26277,26483)",1,139
974f7763-0b85-4006-a15e-b1ad8e67a786,"[8029,8038)","[26638,26696)",1,140
c3bdb10a-c0f4-4d01-bec5-e02fdffb3bb0,"[8038,8043)","[26699,26712)",1,141
b250d2a4-a1ab-463c-a0b4-1ae84e52b750,"[8043,8068)","[26719,26992)",1,142
