notes_id,char_range,frame_range,text_id,speaker_id
853,"[479223,479224)","[818250,818274)",191,T9_GP1
854,"[479224,479225)","[819596,819623)",132,T9_GP1
855,"[479225,479226)","[820048,820071)",2,T9_GP1
856,"[479226,479227)","[820604,820685)",192,T9_GP1
857,"[479227,479228)","[820684,820728)",2,T9_GP1
858,"[479228,479229)","[821951,821972)",2,T9_GP1
859,"[479229,479230)","[822231,822251)",193,T9_GP1
860,"[479230,479231)","[822842,822950)",2,T9_GP1
861,"[479231,479232)","[823847,823902)",2,T9_GP1
862,"[479232,479233)","[824252,824288)",9,T9_GP1
863,"[479233,479234)","[824893,824930)",2,T9_GP1
864,"[479234,479235)","[825056,825123)",2,T9_GP1
865,"[479235,479236)","[825714,825759)",2,T9_GP1
866,"[479236,479237)","[826269,826309)",2,T9_GP1
867,"[479237,479238)","[826773,826864)",194,T9_GP1
868,"[479238,479239)","[827646,827694)",2,T9_GP1
869,"[479239,479240)","[828476,828523)",2,T9_GP1
870,"[479240,479241)","[829812,829833)",2,T9_GP1
871,"[479241,479242)","[829833,829894)",195,T9_GP1
872,"[479242,479243)","[830736,830792)",196,T9_GP1
873,"[479243,479244)","[830804,830825)",9,T9_GP1
874,"[479244,479245)","[830913,830936)",6,T9_GP1
875,"[479245,479246)","[831627,831679)",2,T9_GP1
876,"[479246,479247)","[831945,831959)",6,T9_GP1
877,"[479247,479248)","[832165,832262)",2,T9_GP1
878,"[492260,492261)","[748222,748251)",9,T9_GP2
879,"[492261,492262)","[748308,748391)",2,T9_GP2
880,"[492262,492263)","[748474,748528)",197,T9_GP2
881,"[492263,492264)","[748527,748601)",198,T9_GP2
882,"[492264,492265)","[749519,749554)",2,T9_GP2
883,"[492265,492266)","[749553,749593)",2,T9_GP2
884,"[492266,492267)","[750037,750047)",199,T9_GP2
885,"[492267,492268)","[750672,750718)",2,T9_GP2
886,"[492268,492269)","[750732,750767)",200,T9_GP2
887,"[492269,492270)","[750767,750831)",2,T9_GP2
888,"[492270,492271)","[750831,750911)",201,T9_GP2
889,"[492271,492272)","[751931,751970)",202,T9_GP2
890,"[492272,492273)","[752412,752478)",2,T9_GP2
891,"[492273,492274)","[752637,752671)",203,T9_GP2
892,"[492274,492275)","[752711,752720)",132,T9_GP2
893,"[492275,492276)","[752720,752752)",132,T9_GP2
894,"[492276,492277)","[753536,753611)",2,T9_GP2
895,"[492277,492278)","[753880,753899)",2,T9_GP2
896,"[492278,492279)","[754005,754022)",2,T9_GP2
897,"[492279,492280)","[754175,754191)",2,T9_GP2
898,"[492280,492281)","[754550,754579)",2,T9_GP2
899,"[492281,492282)","[754809,754847)",132,T9_GP2
900,"[492282,492283)","[754968,755003)",135,T9_GP2
901,"[492283,492284)","[755152,755210)",2,T9_GP2
902,"[492284,492285)","[755259,755295)",137,T9_GP2
903,"[492285,492286)","[755970,755983)",2,T9_GP2
904,"[492286,492287)","[756013,756040)",2,T9_GP2
905,"[492287,492288)","[756182,756201)",2,T9_GP2
906,"[492288,492289)","[756421,756435)",2,T9_GP2
907,"[492289,492290)","[756549,756582)",2,T9_GP2
908,"[492290,492291)","[756643,756657)",2,T9_GP2
909,"[492291,492292)","[757654,757673)",2,T9_GP2
910,"[492292,492293)","[757740,757777)",2,T9_GP2
911,"[492293,492294)","[757870,757886)",2,T9_GP2
912,"[492294,492295)","[758090,758116)",2,T9_GP2
913,"[492295,492296)","[758275,758295)",2,T9_GP2
914,"[492296,492297)","[759025,759038)",132,T9_GP2
915,"[492297,492298)","[759724,759769)",2,T9_GP2
916,"[492298,492299)","[760614,760654)",132,T9_GP2
917,"[492299,492300)","[761106,761115)",132,T9_GP2
918,"[492300,492301)","[761598,761656)",137,T9_GP2
919,"[492301,492302)","[761663,761678)",140,T9_GP2
920,"[492302,492303)","[761718,761817)",204,T9_GP2
921,"[492303,492304)","[762331,762348)",2,T9_GP2
922,"[492304,492305)","[762453,762464)",2,T9_GP2
923,"[492305,492306)","[762892,762937)",205,T9_GP2
924,"[492306,492307)","[763138,763163)",18,T9_GP2
925,"[492307,492308)","[763289,763316)",2,T9_GP2
926,"[492308,492309)","[763709,763739)",2,T9_GP2
927,"[492309,492310)","[765515,765581)",144,T9_GP2
928,"[492310,492311)","[766725,766808)",2,T9_GP2
929,"[492311,492312)","[766886,766916)",2,T9_GP2
930,"[492312,492313)","[767153,767173)",2,T9_GP2
931,"[492313,492314)","[768006,768044)",9,T9_GP2
932,"[492314,492315)","[768111,768156)",2,T9_GP2
933,"[492315,492316)","[768181,768196)",2,T9_GP2
934,"[492316,492317)","[768591,768610)",206,T9_GP2
935,"[492317,492318)","[768696,768755)",2,T9_GP2
936,"[492318,492319)","[769346,769376)",149,T9_GP2
937,"[492319,492320)","[769405,769460)",149,T9_GP2
938,"[492320,492321)","[769590,769616)",24,T9_GP2
939,"[492321,492322)","[769714,769722)",207,T9_GP2
940,"[492322,492323)","[769902,769927)",150,T9_GP2
941,"[492323,492324)","[769947,770006)",150,T9_GP2
942,"[492324,492325)","[771878,771898)",2,T9_GP2
943,"[492325,492326)","[772497,772530)",2,T9_GP2
944,"[492326,492327)","[772553,772809)",208,T9_GP2
945,"[492327,492328)","[773428,773454)",2,T9_GP2
946,"[492328,492329)","[780410,780427)",195,T9_GP2
947,"[492329,492330)","[780461,780535)",132,T9_GP2
948,"[492330,492331)","[780588,780600)",132,T9_GP2
949,"[492331,492332)","[780692,780701)",132,T9_GP2
950,"[492332,492333)","[781057,781110)",209,T9_GP2
951,"[492333,492334)","[781356,781394)",132,T9_GP2
952,"[492334,492335)","[781394,781456)",210,T9_GP2
953,"[492335,492336)","[781561,781608)",211,T9_GP2
954,"[492336,492337)","[781850,781864)",212,T9_GP2
955,"[492337,492338)","[783081,783140)",137,T9_GP2
956,"[492338,492339)","[793237,793261)",2,T9_GP2
957,"[492339,492340)","[797015,797058)",213,T9_GP2
958,"[492340,492341)","[798850,798998)",214,T9_GP2
959,"[492341,492342)","[799022,799052)",172,T9_GP2
960,"[492342,492343)","[801468,801500)",2,T9_GP2
961,"[492343,492344)","[810611,810687)",215,T9_GP2
962,"[492344,492345)","[813661,813686)",154,T9_GP2
963,"[492345,492346)","[813725,813782)",2,T9_GP2
964,"[492346,492347)","[815168,815182)",2,T9_GP2
965,"[492347,492348)","[815957,815981)",216,T9_GP2
966,"[492348,492349)","[816632,816664)",217,T9_GP2
967,"[492349,492350)","[817007,817050)",183,T9_GP2
968,"[492350,492351)","[817662,817692)",189,T9_GP2
969,"[492351,492352)","[818085,818130)",186,T9_GP2
970,"[492352,492353)","[818204,818223)",2,T9_GP2
971,"[492353,492354)","[818277,818321)",190,T9_GP2
972,"[492354,492355)","[819170,819197)",2,T9_GP2
973,"[492355,492356)","[820684,820728)",2,T9_GP2
974,"[492356,492357)","[821202,821304)",202,T9_GP2
975,"[492357,492358)","[823699,823751)",132,T9_GP2
976,"[492358,492359)","[825056,825123)",2,T9_GP2
977,"[492359,492360)","[825869,825897)",218,T9_GP2
978,"[492360,492361)","[826773,826864)",194,T9_GP2
979,"[492361,492362)","[827747,827761)",219,T9_GP2
980,"[492362,492363)","[827865,827898)",2,T9_GP2
981,"[492363,492364)","[828460,828476)",220,T9_GP2
982,"[492364,492365)","[828523,828547)",18,T9_GP2
983,"[492365,492366)","[830195,830247)",221,T9_GP2
984,"[492366,492367)","[830837,830854)",9,T9_GP2
985,"[492367,492368)","[831004,831025)",2,T9_GP2
986,"[492368,492369)","[831227,831269)",222,T9_GP2
987,"[492369,492370)","[831627,831679)",223,T9_GP2
988,"[492370,492371)","[831869,831899)",2,T9_GP2
989,"[492371,492372)","[832235,832279)",2,T9_GP2
990,"[507133,507134)","[832519,832551)",101,Interviewer
991,"[507134,507135)","[832870,832923)",101,Interviewer
992,"[507135,507136)","[832922,832990)",224,Interviewer
993,"[507136,507137)","[833238,833263)",101,Interviewer
994,"[507137,507138)","[833778,833830)",225,Interviewer
995,"[507138,507139)","[834056,834121)",226,Interviewer
996,"[507139,507140)","[834656,834680)",227,Interviewer
997,"[507140,507141)","[835098,835156)",228,Interviewer
998,"[507141,507142)","[836392,836407)",229,Interviewer
999,"[507142,507143)","[837048,837059)",101,Interviewer
1000,"[507143,507144)","[837958,837984)",230,Interviewer
1001,"[507144,507145)","[838236,838334)",101,Interviewer
1002,"[507145,507146)","[838532,838553)",231,Interviewer
1003,"[507146,507147)","[838938,838947)",231,Interviewer
1004,"[507147,507148)","[841053,841068)",101,Interviewer
1005,"[507148,507149)","[841244,841263)",231,Interviewer
1006,"[507149,507150)","[841422,841428)",231,Interviewer
1007,"[507150,507151)","[841675,841687)",101,Interviewer
1008,"[507151,507152)","[841806,841818)",231,Interviewer
1009,"[507152,507153)","[841928,841935)",231,Interviewer
1010,"[507153,507154)","[842251,842287)",101,Interviewer
1011,"[507154,507155)","[842959,842973)",231,Interviewer
1012,"[507155,507156)","[843226,843243)",232,Interviewer
1013,"[507156,507157)","[843498,843512)",231,Interviewer
1014,"[507157,507158)","[844430,844440)",101,Interviewer
1015,"[507158,507159)","[844799,844819)",231,Interviewer
1016,"[507159,507160)","[844999,845037)",101,Interviewer
1017,"[507160,507161)","[846072,846091)",101,Interviewer
1018,"[507161,507162)","[846914,846937)",101,Interviewer
1019,"[507162,507163)","[847015,847027)",101,Interviewer
1020,"[507163,507164)","[847048,847073)",233,Interviewer
1021,"[507164,507165)","[847282,847327)",234,Interviewer
1022,"[507165,507166)","[848261,848273)",101,Interviewer
1023,"[507166,507167)","[849340,849365)",101,Interviewer
1024,"[507167,507168)","[849364,849399)",101,Interviewer
1025,"[507168,507169)","[849978,850002)",235,Interviewer
1026,"[507169,507170)","[850715,850736)",101,Interviewer
1027,"[507170,507171)","[850766,850793)",236,Interviewer
1028,"[507171,507172)","[851712,851725)",101,Interviewer
1029,"[507172,507173)","[851856,851865)",231,Interviewer
1030,"[507173,507174)","[852300,852314)",101,Interviewer
1031,"[507174,507175)","[853770,853784)",101,Interviewer
1032,"[507175,507176)","[854684,854697)",231,Interviewer
1033,"[507176,507177)","[854990,855003)",231,Interviewer
1034,"[507177,507178)","[855666,855678)",101,Interviewer
1035,"[507178,507179)","[857364,857396)",101,Interviewer
1036,"[507179,507180)","[858387,858415)",101,Interviewer
1037,"[507180,507181)","[858438,858475)",101,Interviewer
1038,"[507181,507182)","[858507,858547)",101,Interviewer
1039,"[507182,507183)","[860222,860250)",101,Interviewer
1040,"[507183,507184)","[860256,860274)",101,Interviewer
1041,"[507184,507185)","[861398,861424)",101,Interviewer
1042,"[507185,507186)","[861438,861458)",101,Interviewer
1043,"[507186,507187)","[861457,861484)",237,Interviewer
1044,"[507187,507188)","[861704,861747)",101,Interviewer
1045,"[507188,507189)","[862141,862172)",101,Interviewer
1046,"[507189,507190)","[862615,862632)",101,Interviewer
1047,"[507190,507191)","[862930,862978)",101,Interviewer
1048,"[507191,507192)","[863583,863605)",101,Interviewer
1049,"[507192,507193)","[865021,865044)",101,Interviewer
1050,"[507193,507194)","[865608,865639)",238,Interviewer
1051,"[507194,507195)","[865707,865752)",101,Interviewer
1052,"[507195,507196)","[866234,866247)",101,Interviewer
1053,"[507196,507197)","[866424,866453)",101,Interviewer
1054,"[507197,507198)","[866526,866536)",101,Interviewer
1055,"[507198,507199)","[868607,868630)",239,Interviewer
1056,"[507199,507200)","[869627,869664)",240,Interviewer
1057,"[507200,507201)","[870107,870139)",241,Interviewer
1058,"[507201,507202)","[872202,872243)",242,Interviewer
1059,"[507202,507203)","[872389,872429)",243,Interviewer
1060,"[507203,507204)","[872905,872934)",101,Interviewer
1061,"[507204,507205)","[875110,875148)",101,Interviewer
1062,"[507205,507206)","[877226,877255)",101,Interviewer
1063,"[507206,507207)","[879291,879316)",233,Interviewer
1064,"[507207,507208)","[883966,884008)",244,Interviewer
1065,"[507208,507209)","[884275,884304)",101,Interviewer
1066,"[507209,507210)","[889686,889740)",245,Interviewer
1067,"[507210,507211)","[891770,891800)",246,Interviewer
1068,"[507211,507212)","[892435,892462)",101,Interviewer
1069,"[507212,507213)","[897244,897256)",101,Interviewer
1070,"[524808,524809)","[832609,832637)",247,T10_GP1
1071,"[524809,524810)","[832636,832703)",110,T10_GP1
1072,"[524810,524811)","[833118,833141)",101,T10_GP1
1073,"[524811,524812)","[833704,833742)",248,T10_GP1
1074,"[524812,524813)","[833778,833830)",225,T10_GP1
1075,"[524813,524814)","[834568,834601)",231,T10_GP1
1076,"[524814,524815)","[835037,835055)",231,T10_GP1
1077,"[524815,524816)","[835098,835156)",228,T10_GP1
1078,"[524816,524817)","[835450,835493)",249,T10_GP1
1079,"[524817,524818)","[835522,835566)",249,T10_GP1
1080,"[524818,524819)","[835734,835758)",231,T10_GP1
1081,"[524819,524820)","[836267,836297)",231,T10_GP1
1082,"[524820,524821)","[837432,837452)",250,T10_GP1
1083,"[524821,524822)","[838257,838334)",101,T10_GP1
1084,"[524822,524823)","[838826,838841)",231,T10_GP1
1085,"[524823,524824)","[839206,839222)",231,T10_GP1
1086,"[524824,524825)","[839339,839352)",231,T10_GP1
1087,"[524825,524826)","[839975,839991)",231,T10_GP1
1088,"[524826,524827)","[840717,840734)",233,T10_GP1
1089,"[524827,524828)","[841498,841513)",101,T10_GP1
1090,"[524828,524829)","[842395,842419)",231,T10_GP1
1091,"[524829,524830)","[842630,842635)",110,T10_GP1
1092,"[524830,524831)","[843377,843390)",250,T10_GP1
1093,"[524831,524832)","[844439,844458)",233,T10_GP1
1094,"[524832,524833)","[845745,845763)",231,T10_GP1
1095,"[524833,524834)","[846090,846122)",251,T10_GP1
1096,"[524834,524835)","[846165,846174)",104,T10_GP1
1097,"[524835,524836)","[846667,846708)",252,T10_GP1
1098,"[524836,524837)","[846895,846915)",253,T10_GP1
1099,"[524837,524838)","[848675,848681)",231,T10_GP1
1100,"[524838,524839)","[849364,849399)",101,T10_GP1
1101,"[524839,524840)","[850635,850653)",101,T10_GP1
1102,"[524840,524841)","[852190,852213)",254,T10_GP1
1103,"[524841,524842)","[853512,853534)",101,T10_GP1
1104,"[524842,524843)","[854042,854049)",101,T10_GP1
1105,"[524843,524844)","[854090,854103)",231,T10_GP1
1106,"[524844,524845)","[855055,855068)",231,T10_GP1
1107,"[524845,524846)","[855087,855100)",231,T10_GP1
1108,"[524846,524847)","[855666,855678)",101,T10_GP1
1109,"[524847,524848)","[856926,856968)",255,T10_GP1
1110,"[524848,524849)","[859698,859719)",101,T10_GP1
1111,"[524849,524850)","[860041,860052)",250,T10_GP1
1112,"[524850,524851)","[861023,861058)",256,T10_GP1
1113,"[524851,524852)","[861403,861424)",101,T10_GP1
1114,"[524852,524853)","[861457,861484)",101,T10_GP1
1115,"[524853,524854)","[861610,861633)",104,T10_GP1
1116,"[524854,524855)","[863604,863624)",101,T10_GP1
1117,"[524855,524856)","[865481,865504)",257,T10_GP1
1118,"[524856,524857)","[865525,865559)",258,T10_GP1
1119,"[524857,524858)","[865707,865752)",101,T10_GP1
1120,"[524858,524859)","[865846,865863)",250,T10_GP1
1121,"[524859,524860)","[866022,866037)",231,T10_GP1
1122,"[524860,524861)","[866424,866453)",101,T10_GP1
1123,"[524861,524862)","[868303,868328)",259,T10_GP1
1124,"[524862,524863)","[869676,869698)",101,T10_GP1
1125,"[524863,524864)","[870072,870102)",241,T10_GP1
1126,"[524864,524865)","[870273,870288)",260,T10_GP1
1127,"[524865,524866)","[872513,872533)",261,T10_GP1
1128,"[524866,524867)","[873653,873687)",262,T10_GP1
1129,"[524867,524868)","[873955,873990)",263,T10_GP1
1130,"[524868,524869)","[874649,874685)",264,T10_GP1
1131,"[524869,524870)","[874803,874814)",265,T10_GP1
1132,"[524870,524871)","[877154,877202)",102,T10_GP1
1133,"[524871,524872)","[880801,880823)",266,T10_GP1
1134,"[524872,524873)","[881531,881572)",267,T10_GP1
1135,"[524873,524874)","[881956,881971)",268,T10_GP1
1136,"[524874,524875)","[882493,882514)",110,T10_GP1
1137,"[524875,524876)","[888533,888544)",269,T10_GP1
1138,"[524876,524877)","[888829,888855)",270,T10_GP1
1139,"[524877,524878)","[889686,889740)",245,T10_GP1
1140,"[524878,524879)","[892714,892761)",271,T10_GP1
1141,"[524879,524880)","[893711,893721)",250,T10_GP1
1142,"[524880,524881)","[894486,894534)",272,T10_GP1
1143,"[532697,532698)","[848826,848838)",273,T10_GP2
1144,"[532698,532699)","[849699,849725)",274,T10_GP2
1145,"[532699,532700)","[851316,851328)",250,T10_GP2
1146,"[532700,532701)","[852907,852944)",275,T10_GP2
1147,"[532701,532702)","[853104,853121)",275,T10_GP2
1148,"[532702,532703)","[855677,855692)",231,T10_GP2
1149,"[532703,532704)","[856051,856075)",250,T10_GP2
1150,"[532704,532705)","[858507,858547)",101,T10_GP2
1151,"[532705,532706)","[860439,860452)",250,T10_GP2
1152,"[532706,532707)","[865707,865752)",101,T10_GP2
1153,"[532707,532708)","[866262,866284)",101,T10_GP2
1154,"[532708,532709)","[869027,869061)",276,T10_GP2
1155,"[532709,532710)","[872781,872822)",277,T10_GP2
1156,"[532710,532711)","[872905,872934)",101,T10_GP2
1157,"[532711,532712)","[873570,873596)",278,T10_GP2
1158,"[532712,532713)","[875110,875148)",101,T10_GP2
1159,"[532713,532714)","[877022,877094)",249,T10_GP2
1160,"[532714,532715)","[879040,879064)",250,T10_GP2
1161,"[532715,532716)","[883081,883111)",250,T10_GP2
1162,"[532716,532717)","[884275,884304)",101,T10_GP2
1163,"[532717,532718)","[889329,889368)",279,T10_GP2
1164,"[532718,532719)","[892099,892135)",280,T10_GP2
1165,"[532719,532720)","[892478,892509)",281,T10_GP2
1166,"[532720,532721)","[898552,898580)",282,T10_GP2
1167,"[532721,532722)","[898753,898764)",231,T10_GP2
1168,"[554878,554879)","[901723,901743)",283,T11_GP1
1169,"[554879,554880)","[902228,902233)",284,T11_GP1
1170,"[554880,554881)","[902241,902245)",1,T11_GP1
1171,"[554881,554882)","[902500,902526)",285,T11_GP1
1172,"[554882,554883)","[902606,902626)",1,T11_GP1
1173,"[554883,554884)","[902744,902764)",1,T11_GP1
1174,"[554884,554885)","[902833,902839)",286,T11_GP1
1175,"[554885,554886)","[903663,903682)",16,T11_GP1
1176,"[554886,554887)","[903741,903751)",287,T11_GP1
1177,"[554887,554888)","[903786,903809)",1,T11_GP1
1178,"[554888,554889)","[903995,904006)",288,T11_GP1
1179,"[554889,554890)","[904184,904201)",286,T11_GP1
1180,"[554890,554891)","[904250,904261)",289,T11_GP1
1181,"[554891,554892)","[904480,904497)",1,T11_GP1
1182,"[554892,554893)","[904728,904733)",283,T11_GP1
1183,"[554893,554894)","[904778,904803)",283,T11_GP1
1184,"[554894,554895)","[904939,904951)",16,T11_GP1
1185,"[554895,554896)","[906085,906115)",1,T11_GP1
1186,"[554896,554897)","[906129,906141)",288,T11_GP1
1187,"[554897,554898)","[906989,907008)",16,T11_GP1
1188,"[554898,554899)","[907894,907909)",1,T11_GP1
1189,"[554899,554900)","[908523,908544)",1,T11_GP1
1190,"[554900,554901)","[908646,908657)",1,T11_GP1
1191,"[554901,554902)","[908676,908695)",1,T11_GP1
1192,"[554902,554903)","[908725,908748)",1,T11_GP1
1193,"[554903,554904)","[909125,909144)",1,T11_GP1
1194,"[554904,554905)","[909489,909501)",115,T11_GP1
1195,"[554905,554906)","[911151,911170)",290,T11_GP1
1196,"[554906,554907)","[912151,912180)",1,T11_GP1
1197,"[554907,554908)","[912196,912255)",1,T11_GP1
1198,"[554908,554909)","[912422,912436)",291,T11_GP1
1199,"[554909,554910)","[912553,912629)",1,T11_GP1
1200,"[554910,554911)","[912844,912878)",292,T11_GP1
1201,"[554911,554912)","[913038,913046)",283,T11_GP1
1202,"[554912,554913)","[913190,913218)",283,T11_GP1
1203,"[554913,554914)","[913271,913335)",1,T11_GP1
1204,"[554914,554915)","[914287,914309)",283,T11_GP1
1205,"[554915,554916)","[914915,914943)",1,T11_GP1
1206,"[554916,554917)","[915032,915050)",293,T11_GP1
1207,"[554917,554918)","[915247,915261)",1,T11_GP1
1208,"[554918,554919)","[915276,915291)",294,T11_GP1
1209,"[554919,554920)","[916184,916200)",283,T11_GP1
1210,"[554920,554921)","[916681,916707)",1,T11_GP1
1211,"[554921,554922)","[916737,916767)",1,T11_GP1
1212,"[554922,554923)","[918652,918669)",1,T11_GP1
1213,"[554923,554924)","[918672,918685)",290,T11_GP1
1214,"[554924,554925)","[919884,919908)",283,T11_GP1
1215,"[554925,554926)","[919974,919981)",283,T11_GP1
1216,"[554926,554927)","[920352,920373)",207,T11_GP1
1217,"[554927,554928)","[920385,920392)",283,T11_GP1
1218,"[554928,554929)","[921563,921575)",283,T11_GP1
1219,"[554929,554930)","[923323,923333)",290,T11_GP1
1220,"[554930,554931)","[923410,923416)",207,T11_GP1
1221,"[554931,554932)","[924097,924101)",283,T11_GP1
1222,"[554932,554933)","[924229,924234)",26,T11_GP1
1223,"[554933,554934)","[924282,924288)",26,T11_GP1
1224,"[554934,554935)","[924551,924566)",1,T11_GP1
1225,"[554935,554936)","[924636,924645)",1,T11_GP1
1226,"[554936,554937)","[924644,924658)",290,T11_GP1
1227,"[554937,554938)","[927593,927597)",283,T11_GP1
1228,"[554938,554939)","[928048,928054)",283,T11_GP1
1229,"[554939,554940)","[928056,928064)",283,T11_GP1
1230,"[554940,554941)","[928231,928236)",283,T11_GP1
1231,"[554941,554942)","[928638,928652)",283,T11_GP1
1232,"[554942,554943)","[929521,929527)",295,T11_GP1
1233,"[554943,554944)","[929689,929701)",296,T11_GP1
1234,"[554944,554945)","[929859,929869)",290,T11_GP1
1235,"[554945,554946)","[931185,931194)",297,T11_GP1
1236,"[554946,554947)","[931238,931246)",296,T11_GP1
1237,"[554947,554948)","[931521,931543)",290,T11_GP1
1238,"[554948,554949)","[933486,933489)",16,T11_GP1
1239,"[554949,554950)","[933524,933532)",16,T11_GP1
1240,"[554950,554951)","[934305,934328)",16,T11_GP1
1241,"[554951,554952)","[935498,935511)",298,T11_GP1
1242,"[554952,554953)","[937272,937284)",299,T11_GP1
1243,"[554953,554954)","[937821,937831)",296,T11_GP1
1244,"[554954,554955)","[938204,938213)",115,T11_GP1
1245,"[554955,554956)","[940230,940249)",300,T11_GP1
1246,"[554956,554957)","[941100,941139)",301,T11_GP1
1247,"[554957,554958)","[941321,941343)",290,T11_GP1
1248,"[554958,554959)","[941920,941930)",115,T11_GP1
1249,"[554959,554960)","[943056,943073)",115,T11_GP1
1250,"[554960,554961)","[943317,943326)",115,T11_GP1
1251,"[554961,554962)","[944052,944060)",290,T11_GP1
1252,"[554962,554963)","[946148,946163)",283,T11_GP1
1253,"[554963,554964)","[947224,947236)",115,T11_GP1
1254,"[554964,554965)","[947375,947388)",1,T11_GP1
1255,"[554965,554966)","[947896,947905)",302,T11_GP1
1256,"[554966,554967)","[949485,949510)",1,T11_GP1
1257,"[554967,554968)","[949804,949815)",1,T11_GP1
1258,"[554968,554969)","[949816,949825)",290,T11_GP1
1259,"[554969,554970)","[950810,950825)",115,T11_GP1
1260,"[554970,554971)","[951662,951674)",1,T11_GP1
1261,"[554971,554972)","[952847,952864)",1,T11_GP1
1262,"[554972,554973)","[952983,952992)",283,T11_GP1
1263,"[554973,554974)","[953115,953123)",1,T11_GP1
1264,"[554974,554975)","[953295,953305)",1,T11_GP1
1265,"[554975,554976)","[953358,953365)",115,T11_GP1
1266,"[554976,554977)","[953410,953419)",115,T11_GP1
1267,"[554977,554978)","[953732,953749)",1,T11_GP1
1268,"[554978,554979)","[953762,953783)",115,T11_GP1
1269,"[554979,554980)","[953867,953876)",303,T11_GP1
1270,"[554980,554981)","[953986,954003)",115,T11_GP1
1271,"[554981,554982)","[954176,954188)",115,T11_GP1
1272,"[554982,554983)","[954633,954650)",303,T11_GP1
1273,"[554983,554984)","[954680,954719)",1,T11_GP1
1274,"[554984,554985)","[954793,954849)",290,T11_GP1
1275,"[554985,554986)","[954984,955011)",16,T11_GP1
1276,"[554986,554987)","[955234,955250)",290,T11_GP1
1277,"[554987,554988)","[955408,955422)",304,T11_GP1
1278,"[554988,554989)","[955499,955518)",1,T11_GP1
1279,"[554989,554990)","[955539,955571)",305,T11_GP1
1280,"[554990,554991)","[955598,955616)",306,T11_GP1
1281,"[554991,554992)","[955773,955784)",115,T11_GP1
1282,"[554992,554993)","[956305,956315)",1,T11_GP1
1283,"[554993,554994)","[956316,956331)",290,T11_GP1
1284,"[554994,554995)","[956408,956423)",115,T11_GP1
1285,"[554995,554996)","[956479,956494)",1,T11_GP1
1286,"[554996,554997)","[956705,956719)",307,T11_GP1
1287,"[554997,554998)","[956944,956956)",1,T11_GP1
1288,"[554998,554999)","[957046,957058)",207,T11_GP1
1289,"[554999,555000)","[957143,957151)",290,T11_GP1
1290,"[555000,555001)","[957445,957467)",290,T11_GP1
1291,"[555001,555002)","[957562,957580)",1,T11_GP1
1292,"[555002,555003)","[957580,957594)",1,T11_GP1
1293,"[555003,555004)","[957609,957656)",1,T11_GP1
1294,"[555004,555005)","[957655,957680)",1,T11_GP1
1295,"[555005,555006)","[957679,957706)",308,T11_GP1
1296,"[555006,555007)","[957763,957780)",115,T11_GP1
1297,"[555007,555008)","[957891,957924)",115,T11_GP1
1298,"[555008,555009)","[958329,958365)",309,T11_GP1
1299,"[555009,555010)","[958444,958477)",310,T11_GP1
1300,"[555010,555011)","[958538,958551)",290,T11_GP1
1301,"[555011,555012)","[958805,958812)",298,T11_GP1
1302,"[555012,555013)","[958837,958850)",283,T11_GP1
1303,"[555013,555014)","[958916,958947)",1,T11_GP1
1304,"[555014,555015)","[959056,959066)",290,T11_GP1
1305,"[555015,555016)","[959195,959207)",1,T11_GP1
1306,"[555016,555017)","[960727,960749)",1,T11_GP1
1307,"[555017,555018)","[960817,960848)",1,T11_GP1
1308,"[555018,555019)","[961118,961149)",1,T11_GP1
1309,"[555019,555020)","[961310,961329)",16,T11_GP1
1310,"[555020,555021)","[961367,961403)",1,T11_GP1
1311,"[555021,555022)","[961431,961437)",290,T11_GP1
1312,"[555022,555023)","[961464,961482)",1,T11_GP1
1313,"[555023,555024)","[961629,961659)",1,T11_GP1
1314,"[555024,555025)","[961663,961672)",115,T11_GP1
1315,"[555025,555026)","[962141,962146)",290,T11_GP1
1316,"[555026,555027)","[962191,962206)",1,T11_GP1
1317,"[555027,555028)","[962216,962236)",311,T11_GP1
1318,"[555028,555029)","[962347,962356)",311,T11_GP1
1319,"[555029,555030)","[962365,962378)",283,T11_GP1
1320,"[555030,555031)","[963379,963396)",312,T11_GP1
1321,"[555031,555032)","[963821,963836)",115,T11_GP1
1322,"[555032,555033)","[964745,964754)",26,T11_GP1
1323,"[555033,555034)","[965228,965244)",1,T11_GP1
1324,"[555034,555035)","[966657,966675)",298,T11_GP1
1325,"[555035,555036)","[966739,966756)",1,T11_GP1
1326,"[555036,555037)","[968546,968555)",290,T11_GP1
1327,"[555037,555038)","[968849,968874)",283,T11_GP1
1328,"[555038,555039)","[969210,969223)",1,T11_GP1
1329,"[555039,555040)","[969406,969426)",1,T11_GP1
1330,"[555040,555041)","[969591,969627)",1,T11_GP1
1331,"[555041,555042)","[969779,969831)",313,T11_GP1
1332,"[555042,555043)","[970151,970174)",1,T11_GP1
1333,"[555043,555044)","[970387,970396)",1,T11_GP1
1334,"[555044,555045)","[970413,970431)",1,T11_GP1
1335,"[555045,555046)","[970738,970763)",115,T11_GP1
1336,"[555046,555047)","[970766,970778)",115,T11_GP1
1337,"[555047,555048)","[970849,970860)",290,T11_GP1
1338,"[555048,555049)","[971421,971434)",1,T11_GP1
1339,"[555049,555050)","[971912,971927)",1,T11_GP1
1340,"[555050,555051)","[971931,971944)",290,T11_GP1
1341,"[555051,555052)","[972112,972118)",115,T11_GP1
